#{"t_start": 1677702823.6680574, "env_id": "Swimmer-v3"}
r,l,t
348.067654,1000,7845.235799
348.46623,1000,7859.448575
350.708328,1000,7874.610531
349.246578,1000,7889.372613
341.494406,1000,7905.214945
346.702022,1000,7919.851465
346.028474,1000,7934.103262
342.223656,1000,7948.540742
341.935083,1000,7962.81469
342.509871,1000,7977.104154
343.542455,1000,7991.580039
348.7234,1000,8005.817121
341.766398,1000,8020.227269
340.233329,1000,8034.611095
341.635021,1000,8048.788494
341.970378,1000,8063.104215
340.030404,1000,8080.388572
340.886891,1000,8095.232786
338.743308,1000,8109.814697
342.502955,1000,8123.945776
346.137114,1000,8138.426053
316.922529,1000,8152.771211
59.017493,1000,8167.112906
86.686353,1000,8181.491502
14.384661,1000,8195.857832
25.08341,1000,8210.372098
15.254135,1000,8227.315831
46.770466,1000,8243.118133
20.1698,1000,8257.649544
19.49309,1000,8272.18648
40.065105,1000,8286.494963
344.666422,1000,8300.688954
345.407432,1000,8314.854052
342.627102,1000,8329.312266
202.400861,1000,8343.629871
158.826291,1000,8357.964116
38.518472,1000,8372.210198
35.722606,1000,8386.931451
18.270465,1000,8401.612151
18.093736,1000,8415.886813
12.249739,1000,8430.30322
19.402984,1000,8447.486302
23.281111,1000,8461.900622
11.090352,1000,8476.691188
25.71469,1000,8491.121415
2.759357,1000,8505.480771
33.54619,1000,8519.796989
-4.637589,1000,8534.510318
10.988506,1000,8548.880038
7.434324,1000,8563.198005
37.258486,1000,8577.62372
16.08296,1000,8592.010545
20.364664,1000,8606.442571
24.73205,1000,8621.090249
-6.35133,1000,8637.357256
6.413693,1000,8651.621251
22.947382,1000,8664.975534
18.062066,1000,8677.654807
40.921891,1000,8690.418084
17.648583,1000,8703.067753
1.679716,1000,8715.706916
6.485346,1000,8728.40276
-4.298244,1000,8740.929558
13.799086,1000,8753.522223
-7.09001,1000,8766.06472
6.364211,1000,8779.069232
15.66021,1000,8795.718975
68.037327,1000,8808.753157
40.87759,1000,8821.627768
38.6367,1000,8834.789659
8.765433,1000,8848.15131
40.370768,1000,8861.634862
38.007568,1000,8877.348649
53.130083,1000,8891.556643
9.897027,1000,8905.669913
24.016991,1000,8919.909508
17.48472,1000,8934.179157
14.205806,1000,8948.790755
12.746236,1000,8964.863483
17.573285,1000,8980.25
6.388471,1000,8993.497806
9.40891,1000,9008.228266
-1.710226,1000,9023.753825
3.010426,1000,9040.832256
9.393824,1000,9055.301385
28.343188,1000,9069.750113
11.66372,1000,9084.442328
6.680764,1000,9099.750932
-1.234892,1000,9115.996056
28.580584,1000,9132.262192
5.068622,1000,9148.354151
-3.038832,1000,9166.842839
7.936685,1000,9182.794789
19.204829,1000,9198.444556
8.762451,1000,9213.411394
6.501835,1000,9228.475689
23.370024,1000,9244.959026
0.850307,1000,9260.73277
7.336954,1000,9275.002865
-16.117139,1000,9289.462848
-15.241735,1000,9303.284084
-2.583202,1000,9316.89566
1.812333,1000,9331.222557
4.982184,1000,9345.599491
2.454485,1000,9361.026781
-4.727806,1000,9375.631466
-9.279505,1000,9390.668637
11.478599,1000,9404.732321
31.212905,1000,9418.79345
9.330826,1000,9432.287824
17.095073,1000,9445.285337
15.664985,1000,9459.082351
12.945133,1000,9473.251122
12.755667,1000,9487.755055
7.63621,1000,9502.744739
24.871733,1000,9518.158288
20.352975,1000,9537.06648
26.627097,1000,9552.24308
28.19562,1000,9566.637163
14.264733,1000,9581.340593
19.265794,1000,9595.949623
9.14671,1000,9610.84862
14.628071,1000,9624.303133
9.11091,1000,9637.911606
18.041285,1000,9652.336319
25.697504,1000,9668.055771
12.824639,1000,9682.097826
25.827611,1000,9696.091011
22.405729,1000,9709.723698
16.406876,1000,9723.252517
21.631426,1000,9736.400048
14.558707,1000,9750.999217
16.110349,1000,9765.645619
8.012247,1000,9780.922514
10.078296,1000,9795.552237
26.898138,1000,9810.09122
1.927452,1000,9825.028464
23.083093,1000,9839.60677
14.741081,1000,9854.113334
14.63934,1000,9868.64638
24.183513,1000,9883.339844
20.176979,1000,9900.651572
11.223758,1000,9915.07443
15.441473,1000,9929.480427
18.483883,1000,9943.991391
16.811325,1000,9958.388579
6.741846,1000,9972.938332
11.532132,1000,9987.457871
20.59511,1000,10001.855336
10.263512,1000,10016.499015
11.336189,1000,10031.074461
3.284511,1000,10045.628552
9.631034,1000,10060.137994
0.621802,1000,10074.739055
8.299669,1000,10089.23491
-14.009854,1000,10103.757909
23.92834,1000,10118.439109
3.430443,1000,10132.855979
19.42946,1000,10147.562467
27.716426,1000,10162.157118
-0.133215,1000,10176.641229
-10.49495,1000,10193.926347
5.830525,1000,10208.131816
-1.584966,1000,10222.024678
11.576517,1000,10236.748976
8.928425,1000,10250.189979
11.620677,1000,10266.069508
-7.3546,1000,10279.948533
-4.528115,1000,10293.781236
-4.435473,1000,10307.803941
-0.281373,1000,10321.801886
24.796701,1000,10335.718888
-8.553092,1000,10349.72446
-8.110616,1000,10364.696135
-11.158896,1000,10380.363268
5.33908,1000,10396.052095
-9.810079,1000,10409.303238
6.802953,1000,10422.721969
9.188845,1000,10436.994891
14.248228,1000,10451.500473
-4.398916,1000,10465.406517
5.83367,1000,10480.499807
1.771099,1000,10495.262291
-10.075232,1000,10510.209894
-7.789936,1000,10523.994648
0.721935,1000,10537.656774
5.989716,1000,10550.90812
12.583295,1000,10564.221426
13.471651,1000,10577.422402
12.870794,1000,10590.599205
20.787055,1000,10603.814875
17.042879,1000,10619.4649
23.639317,1000,10632.321075
19.636814,1000,10645.502338
18.319871,1000,10658.585523
-9.017323,1000,10671.903435
-4.028233,1000,10684.913934
-4.991773,1000,10698.031534
27.498849,1000,10720.167545
-2.110372,1000,10753.614241
-0.154168,1000,10768.287959
25.33352,1000,10783.127243
19.126527,1000,10798.428682
14.389985,1000,10815.269386
21.466634,1000,10829.441163
23.971625,1000,10843.593679
18.443552,1000,10857.957425
-5.371558,1000,10872.198215
3.421584,1000,10886.306668
19.365258,1000,10900.504099
20.727238,1000,10914.730829
